chamber, legislator_name                   , disclosure_date, transaction_date, ticker, asset_description, asset_type, transaction_type, amount_range, owner, ptr_link                                                                  , comment                                                     , transaction_year, disclosure_year, filing_type , office
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2024/20024458.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2024,            2024, ptr original, GA12
House  , "Aderholt, Hon.. Robert B."       ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032062.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, AL04
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026537.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026727.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027927.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030316.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030502.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030608.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030850.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032052.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20032204.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2025,            2025, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033751.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033945.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, GA12
House  , "Allen, Hon.. Richard W."         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034133.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, GA12
House  , "Auchincloss, Hon.. Jake"         ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034024.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, MA04
House  , "Beyer, Hon.. Donald Sternoff Jr.",                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033714.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, VA08
House  , "Beyer, Hon.. Donald Sternoff Jr.",                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033903.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, VA08
House  , "Beyer, Hon.. Donald Sternoff Jr.",                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034085.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, VA08
House  , "Biggs, Hon.. Sheri"              ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033800.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, SC03
House  , "Biggs, Hon.. Sheri"              ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20033927.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, SC03
House  , "Biggs, Hon.. Sheri"              ,                ,                 ,       ,                  ,           ,                 ,             ,      , https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2026/20034013.pdf, Disclosure listing; parse PDF for trades. Type: ptr original,             2026,            2026, ptr original, SC03
